FinancialYear,HBT2014,HBT2014QF,ICD10Codes,ICD10CodesQF,DischargeCount,DischargeRates,DischargeRatesQF,PatientsCount,PatientsRates,PatientRatesQF,HospitalResidentsCount,HospitalResidentsRates,HospitalResidentsRatesQF
1997/98,S08000015, ,All Codes,d,2660,713.62, ,1780,477.53, ,500,134.14, 
1997/98,S08000015, ,F60 - F69, ,90,24.14, ,40,10.73, ,20,5.37, 
1997/98,S08000015, ,F10 - F19, ,660,177.06, ,430,115.36, ,40,10.73, 
1997/98,S08000015, ,F30 - F39, ,570,152.92, ,400,107.31, ,60,16.1, 
1997/98,S08000015, ,F40 - F49, ,320,85.85, ,240,64.39, ,20,5.37, 
1997/98,S08000015, ,F00 - F09 or Chapter G and second position F00, ,600,160.97, ,390,104.63, ,220,59.02, 
1997/98,S08000015, ,Non F Codes, ,30,8.05, ,30,8.05, ,10,2.68, 
1997/98,S08000015, ,"F50 - F59, F70 - F99", ,20,5.37, ,20,5.37, ,20,5.37, 
1997/98,S08000015, ,F20 - F29, ,360,96.58, ,230,61.7, ,110,29.51, 
1997/98,S08000016, ,All Codes,d,700,660.63, ,450,424.69, ,130,122.69, 
1997/98,S08000016, ,F60 - F69, ,40,37.75, ,10,9.44, ,0,0, 
1997/98,S08000016, ,F10 - F19, ,90,84.94, ,70,66.06, ,0,0, 
1997/98,S08000016, ,F30 - F39, ,130,122.69, ,100,94.38, ,20,18.88, 
1997/98,S08000016, ,F40 - F49, ,70,66.06, ,50,47.19, ,0,0, 
1997/98,S08000016, ,F00 - F09 or Chapter G and second position F00, ,220,207.63, ,140,132.13, ,70,66.06, 
1997/98,S08000016, ,Non F Codes, ,20,18.88, ,10,9.44, ,0,0, 
1997/98,S08000016, ,"F50 - F59, F70 - F99", ,0,0, ,0,0, ,0,0, 
1997/98,S08000016, ,F20 - F29, ,130,122.69, ,60,56.63, ,20,18.88, 
1997/98,S08000017, ,All Codes,d,860,579.05, ,640,430.92, ,270,181.79, 
1997/98,S08000017, ,F60 - F69, ,60,40.4, ,40,26.93, ,0,0, 
1997/98,S08000017, ,F10 - F19, ,100,67.33, ,80,53.86, ,10,6.73, 
1997/98,S08000017, ,F30 - F39, ,210,141.4, ,160,107.73, ,40,26.93, 
1997/98,S08000017, ,F40 - F49, ,90,60.6, ,60,40.4, ,10,6.73, 
1997/98,S08000017, ,F00 - F09 or Chapter G and second position F00, ,180,121.2, ,130,87.53, ,100,67.33, 
